sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_affordable_is_produce_in_your_neighborhood?,lat,lon
"""6437837551435776""","""5737885724573696""","""4587820012273664""","""6543487551930368""","""5897368358617088""",2019-01-28 22:53:19.723000+00:00,"""4594035316490240""",su_tl-ph_food-security-2,very_affordable,6.9161862,122.0670039
"""6438431665160192""","""5214694556041216""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-03-18 18:50:21.700000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,very_affordable,7.0136199,125.5017423
"""6438452880998400""","""4722923367563264""","""4587820012273664""","""6275302370050048""","""5897368358617088""",2019-02-18 21:39:24.284000+00:00,"""5942595656089600""",ii_tl-ph_food-security-2,affordable,10.7554399,122.5366726
"""6439047226458112""","""6358076902866944""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-01-08 22:51:21.804000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,6.7730405,125.2167949
"""6440929592344576""","""5624812644859904""","""4587820012273664""","""6543487551930368""","""5897368358617088""",2019-01-29 02:34:18.315000+00:00,"""4594035316490240""",su_tl-ph_food-security-2,affordable,7.1437524,122.2327487
"""6440941943521280""","""5876463133786112""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-03-06 03:35:32.947000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,unaffordable,7.1991231,124.2424361
"""6441825680228352""","""5684179551387648""","""4587820012273664""","""6242459602386944""","""5897368358617088""",2019-02-18 16:36:24.090000+00:00,"""6326292867710976""",dv_tl-ph_food-security-2,affordable,7.0624484,125.5580689
"""6441991774666752""","""6581236086603776""","""4587820012273664""","""6275302370050048""","""5897368358617088""",2019-02-18 16:11:20.814000+00:00,"""5942595656089600""",ii_tl-ph_food-security-2,affordable,10.745301,122.5681541
"""6442979515432960""","""5536690447843328""","""4587820012273664""","""6543487551930368""","""5897368358617088""",2019-03-26 07:17:20.592000+00:00,"""4594035316490240""",su_tl-ph_food-security-2,affordable,6.8980092,122.0868416
"""6443185708466176""","""6214959572713472""","""4587820012273664""","""4825961704980480""","""5897368358617088""",2019-02-14 04:59:19.460000+00:00,"""5785402034094080""",mg-ph-tl_tl-ph_food-security-2,affordable,7.2200432,124.5326809
"""6444879875932160""","""6468239422914560""","""4587820012273664""","""6275302370050048""","""5897368358617088""",2019-01-22 03:47:22.228000+00:00,"""5942595656089600""",ii_tl-ph_food-security-2,affordable,10.7072599,122.5158609
"""6446123466096640""","""6563900684238848""","""4587820012273664""","""4945906786893824""","""5897368358617088""",2019-02-14 15:47:25.391000+00:00,"""5519682876473344""",su-ph-tl_tl-ph_food-security-2,very_unaffordable,6.921073,122.0855937
"""6446526689705984""","""6295680660275200""","""4587820012273664""","""4945906786893824""","""5897368358617088""",2019-02-13 21:49:19.946000+00:00,"""5519682876473344""",su-ph-tl_tl-ph_food-security-2,very_affordable,6.9162041,122.0670023
"""6446647820156928""","""5654214896254976""","""4587820012273664""","""6543487551930368""","""5897368358617088""",2019-03-27 01:23:21.540000+00:00,"""4594035316490240""",su_tl-ph_food-security-2,affordable,6.9434815,122.0597925
"""6447006937513984""","""6186940409839616""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-02-06 22:10:26.382000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,7.182352,124.7980705
"""6448207917744128""","""4965286283313152""","""4587820012273664""","""5968666308902912""","""5897368358617088""",2019-02-05 19:26:20.894000+00:00,"""6021888604110848""",mg_tl-ph_food-security-2,affordable,7.0645911,125.6143767
"""6448369468702720""","""6687900622127104""","""4587820012273664""","""4580107475746816""","""5897368358617088""",2019-03-15 18:29:25.539000+00:00,"""6512267501764608""",ls_tl-ph_food-security-2,affordable,7.9698232,124.2646764
