sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_affordable_is_food_in_your_neighborhood?,lat,lon
"""4897456341909504""","""5947291624013824""","""4539560216231936""","""6657161243394048""","""5897368358617088""",2019-03-12 23:50:24.399000+00:00,"""5950956179030016""",su-ph-tl_tl-ph_food-security-1,affordable,6.9560626,121.9567415
"""4897599518670848""","""6248941362348032""","""4539560216231936""","""4511298006024192""","""5897368358617088""",2019-03-19 02:41:28.156000+00:00,"""4651607675371520""",ii_tl-ph_food-security-1,affordable,,
"""4897675116806144""","""5744547667640320""","""4539560216231936""","""4830369213841408""","""5897368358617088""",2019-03-13 00:11:31.406000+00:00,"""5603121273241600""",southern-ph-tl_food-security-1,affordable,6.9672889,126.0101729
"""4898469137350656""","""6377010462982144""","""4539560216231936""","""4971906765684736""","""5897368358617088""",2019-02-24 17:21:23.025000+00:00,"""4776233399222272""",su_tl-ph_food-security-1,affordable,6.9214599,122.0524279
"""4899203618701312""","""4675820356370432""","""4539560216231936""","""4511298006024192""","""5897368358617088""",2019-02-18 05:01:25.296000+00:00,"""4651607675371520""",ii_tl-ph_food-security-1,affordable,11.461476,123.0729016
"""4899401656958976""","""6608798512840704""","""4539560216231936""","""5499992699568128""","""5897368358617088""",2019-02-17 21:39:23.417000+00:00,"""6360746290053120""",dv_tl-ph_food-security-1,affordable,7.0527535,125.5510928
"""4899775021318144""","""6461087253790720""","""4539560216231936""","""6128733465346048""","""5897368358617088""",2019-01-15 16:11:22.740000+00:00,"""4551626910072832""",mg-ph-tl_tl-ph_food-security-1,affordable,6.1067317,125.1846133
"""4899978662117376""","""6192674958737408""","""4539560216231936""","""5499992699568128""","""5897368358617088""",2019-03-17 16:38:24.563000+00:00,"""6360746290053120""",dv_tl-ph_food-security-1,affordable,7.0500475,125.5019756
"""4900200856420352""","""6602193366941696""","""4539560216231936""","""6128733465346048""","""5897368358617088""",2019-02-12 20:13:19.471000+00:00,"""4551626910072832""",mg-ph-tl_tl-ph_food-security-1,affordable,6.1154841,125.1834156
"""4901256382382080""","""6004257796915200""","""4539560216231936""","""6657161243394048""","""5897368358617088""",2019-01-15 21:44:22.629000+00:00,"""5950956179030016""",su-ph-tl_tl-ph_food-security-1,affordable,6.9515005,122.1046096
"""4901916830072832""","""5607823767502848""","""4539560216231936""","""4511298006024192""","""5897368358617088""",2019-02-17 17:33:21.621000+00:00,"""4651607675371520""",ii_tl-ph_food-security-1,affordable,10.8336494,122.6751625
"""4902876590637056""","""6232190977310720""","""4539560216231936""","""6128733465346048""","""5897368358617088""",2019-03-13 06:11:22.843000+00:00,"""4551626910072832""",mg-ph-tl_tl-ph_food-security-1,affordable,6.1083505,125.1824353
