sub_id,user_id,form_id,task_id,project_id,modified,campaign_id,campaign_name,how_safe_is_drinking_water_from_the_tap?,lat,lon
"""5545345868103680""","""6686603537809408""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-01-01 23:53:19.407000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,very_safe,7.078291,125.5108703
"""5545355770855424""","""5854434074558464""","""6395884608684032""","""4642333968564224""","""5897368358617088""",2019-02-21 22:18:33.192000+00:00,"""5156985269911552""",su_tl-ph_water-&-sanitation-3,somewhat_safe,7.1418325,122.2338794
"""5545629252059136""","""6306671443836928""","""6395884608684032""","""5011006579277824""","""5897368358617088""",2019-01-16 23:37:21.797000+00:00,"""4737466151993344""",ii_tl-ph_water-&-sanitation-3,somewhat_safe,7.0846283,125.5728383
"""5545964343394304""","""6615622056148992""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-01-02 02:28:18.703000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,somewhat_safe,7.0828782,125.6252815
"""5546011994882048""","""5957141103902720""","""6395884608684032""","""5143745597014016""","""5897368358617088""",2019-02-27 01:21:22.227000+00:00,"""6419287868702720""",su-ph-tl_tl-ph_water-&-sanitation-3,somewhat_safe,6.9207246,122.0523229
"""5546097016569856""","""5686557686104064""","""6395884608684032""","""5407508699021312""","""5897368358617088""",2019-03-11 11:44:21.307000+00:00,"""6518623449382912""",ls_tl-ph_water-&-sanitation-3,somewhat_unsafe,8.0068968,124.2785875
"""5546206064279552""","""5410041071927296""","""6395884608684032""","""4642333968564224""","""5897368358617088""",2019-03-20 23:38:25.281000+00:00,"""5156985269911552""",su_tl-ph_water-&-sanitation-3,somewhat_safe,6.9141476,122.0528735
"""5546463812648960""","""6486696193425408""","""6395884608684032""","""4684994133884928""","""5897368358617088""",2019-03-26 21:41:22.104000+00:00,"""6309660707520512""",mg-ph-tl_tl-ph_water-&-sanitation-3,somewhat_safe,6.8466518,124.895939
"""5546502720061440""","""5660036971888640""","""6395884608684032""","""5074247959445504""","""5897368358617088""",2019-01-27 10:13:19.433000+00:00,"""5214557628792832""",mg_tl-ph_water-&-sanitation-3,somewhat_unsafe,7.3060701,125.6809341
"""5546539629936640""","""5933404749037568""","""6395884608684032""","""5184095606800384""","""5897368358617088""",2019-01-29 23:49:23.500000+00:00,"""6374781270097920""",southern-ph-tl_water-&-sanitation-3,somewhat_safe,7.048539,125.5665003
"""5546688611614720""","""5750214795198464""","""6395884608684032""","""5074247959445504""","""5897368358617088""",2019-01-26 22:48:18.817000+00:00,"""5214557628792832""",mg_tl-ph_water-&-sanitation-3,somewhat_safe,,
"""5547434937679872""","""4583232018317312""","""6395884608684032""","""5143745597014016""","""5897368358617088""",2019-02-26 21:44:19.546000+00:00,"""6419287868702720""",su-ph-tl_tl-ph_water-&-sanitation-3,somewhat_unsafe,6.9332049,122.0792039
